epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,3801.17,1.29716,0.8473,1.02422,0.59055,0.36405,0.39372,0.21553,1.3312,0.82539,1.01472,0.00528318,0.00528318,0.00528318
99,3840.06,1.29582,0.84795,1.01887,0.59789,0.36735,0.39574,0.21721,1.32909,0.82526,1.01382,0.00520548,0.00520548,0.00520548
100,3877.52,1.29028,0.84172,1.01864,0.56373,0.38669,0.39856,0.21762,1.32868,0.82389,1.01338,0.00512775,0.00512775,0.00512775
101,3914.14,1.28837,0.84471,1.02029,0.59328,0.37185,0.39598,0.21678,1.32879,0.82444,1.01339,0.00505,0.00505,0.00505
102,3953.26,1.28417,0.83835,1.01876,0.58944,0.3752,0.39594,0.21689,1.32919,0.82469,1.01371,0.00497225,0.00497225,0.00497225
103,3992.01,1.28649,0.84116,1.02081,0.5674,0.37664,0.39559,0.21648,1.32865,0.82357,1.01317,0.00489452,0.00489452,0.00489452
104,4029.35,1.29143,0.84201,1.01919,0.61857,0.35862,0.3969,0.21758,1.32828,0.82302,1.01253,0.00481682,0.00481682,0.00481682
105,4066.53,1.28069,0.83502,1.01694,0.61629,0.35756,0.39734,0.2184,1.32782,0.82242,1.01208,0.00473919,0.00473919,0.00473919
106,4102.51,1.2815,0.83304,1.01901,0.59638,0.36247,0.39874,0.21858,1.32763,0.82109,1.01206,0.00466163,0.00466163,0.00466163
107,4140.57,1.28117,0.83619,1.01636,0.56022,0.38681,0.39868,0.21878,1.32684,0.82225,1.01162,0.00458416,0.00458416,0.00458416
108,4175.14,1.27787,0.82621,1.01355,0.63299,0.35378,0.39938,0.22068,1.32703,0.82164,1.01135,0.00450682,0.00450682,0.00450682
109,4212.67,1.28004,0.82829,1.01497,0.64296,0.35311,0.39926,0.22015,1.32702,0.82111,1.01124,0.0044296,0.0044296,0.0044296
110,4247.5,1.27953,0.82851,1.01584,0.63352,0.35238,0.39858,0.21972,1.32689,0.82052,1.01134,0.00435254,0.00435254,0.00435254
111,4284.05,1.28095,0.82601,1.01303,0.62439,0.35497,0.40072,0.22044,1.32766,0.82109,1.01132,0.00427565,0.00427565,0.00427565
112,4321.85,1.27586,0.82791,1.0166,0.54927,0.39076,0.40234,0.22057,1.32807,0.82095,1.01149,0.00419895,0.00419895,0.00419895
113,4360.31,1.27438,0.82547,1.01423,0.56852,0.38406,0.40339,0.22004,1.32743,0.82081,1.01113,0.00412246,0.00412246,0.00412246
114,4394.45,1.27878,0.82534,1.01162,0.59751,0.36797,0.40216,0.22068,1.32784,0.81976,1.01098,0.0040462,0.0040462,0.0040462
115,4430.42,1.26776,0.81486,1.00987,0.5927,0.36876,0.40374,0.22138,1.32722,0.81976,1.0108,0.00397019,0.00397019,0.00397019
116,4469.26,1.28021,0.82384,1.01287,0.58273,0.37303,0.40216,0.22066,1.32739,0.81961,1.01052,0.00389445,0.00389445,0.00389445
117,4507.21,1.27285,0.8194,1.01254,0.59702,0.36832,0.40181,0.22114,1.32717,0.81943,1.01052,0.00381899,0.00381899,0.00381899
118,4544.95,1.27225,0.82152,1.01101,0.59836,0.37355,0.40206,0.22083,1.32713,0.81907,1.01015,0.00374383,0.00374383,0.00374383
119,4581.38,1.27158,0.81634,1.01057,0.58954,0.37263,0.40209,0.22045,1.32658,0.81895,1.01001,0.00366899,0.00366899,0.00366899
120,4617.51,1.26415,0.81422,1.00924,0.58713,0.37442,0.39932,0.22002,1.32657,0.81831,1.01012,0.0035945,0.0035945,0.0035945
121,4655.44,1.26395,0.81214,1.00893,0.58283,0.37455,0.39933,0.21971,1.32661,0.81813,1.01028,0.00352037,0.00352037,0.00352037
122,4691.95,1.26396,0.8137,1.00779,0.58409,0.37514,0.40183,0.21986,1.32575,0.81797,1.00992,0.00344661,0.00344661,0.00344661
123,4727.13,1.26649,0.81571,1.00938,0.57556,0.38268,0.401,0.21953,1.32539,0.81802,1.00984,0.00337325,0.00337325,0.00337325
124,4766.62,1.26645,0.80856,1.00947,0.58019,0.38135,0.40057,0.21979,1.32524,0.81763,1.00993,0.0033003,0.0033003,0.0033003
125,4804.24,1.26299,0.80878,1.00877,0.57683,0.38358,0.40229,0.21964,1.32524,0.81751,1.01,0.00322778,0.00322778,0.00322778
126,4844.13,1.26495,0.80714,1.00841,0.58562,0.37755,0.40043,0.2192,1.32522,0.81728,1.00992,0.00315572,0.00315572,0.00315572
127,4885.29,1.26631,0.81008,1.00835,0.59699,0.37522,0.4023,0.2194,1.32557,0.81751,1.01002,0.00308412,0.00308412,0.00308412
128,4922.33,1.25648,0.80209,1.0049,0.59652,0.37649,0.40194,0.21926,1.32578,0.81753,1.00996,0.003013,0.003013,0.003013
129,4962.03,1.26469,0.80576,1.00625,0.59531,0.37745,0.40287,0.2197,1.32561,0.81761,1.0098,0.00294239,0.00294239,0.00294239
130,4998.65,1.26325,0.80332,1.00938,0.59823,0.37679,0.40344,0.22012,1.32573,0.8174,1.00988,0.0028723,0.0028723,0.0028723
131,5035.62,1.2622,0.80382,1.00498,0.59756,0.37766,0.4022,0.21972,1.32552,0.81715,1.0098,0.00280275,0.00280275,0.00280275
132,5077.68,1.26187,0.80368,1.00646,0.59135,0.38038,0.40224,0.22029,1.32543,0.81678,1.00983,0.00273375,0.00273375,0.00273375
133,5116.95,1.25932,0.7985,1.0058,0.59117,0.37894,0.40073,0.22044,1.32558,0.81662,1.00985,0.00266532,0.00266532,0.00266532
134,5156.53,1.25281,0.79661,1.00414,0.59393,0.37557,0.39917,0.21979,1.32555,0.81627,1.00974,0.00259748,0.00259748,0.00259748
135,5196.2,1.25806,0.79635,1.00507,0.58942,0.37505,0.39924,0.21918,1.32585,0.81631,1.00972,0.00253024,0.00253024,0.00253024
136,5232.09,1.24852,0.79516,1.00285,0.59131,0.37461,0.39845,0.21946,1.32577,0.81605,1.00977,0.00246363,0.00246363,0.00246363
137,5270.61,1.25164,0.79501,1.00301,0.59283,0.37401,0.39915,0.22001,1.32589,0.81571,1.00975,0.00239766,0.00239766,0.00239766
138,5312.18,1.2498,0.79084,1.00166,0.58926,0.37542,0.39912,0.21977,1.32577,0.81552,1.00965,0.00233234,0.00233234,0.00233234
139,5348,1.25188,0.79339,1.00198,0.58784,0.37648,0.39967,0.21977,1.32575,0.81519,1.00967,0.00226769,0.00226769,0.00226769
140,5384.11,1.24834,0.79126,1.00327,0.58716,0.38069,0.39831,0.22018,1.32569,0.81512,1.00962,0.00220372,0.00220372,0.00220372
141,5420.45,1.25379,0.79336,1.00659,0.58849,0.38091,0.39885,0.21991,1.32537,0.81485,1.00948,0.00214046,0.00214046,0.00214046
142,5458.79,1.24545,0.78422,0.99844,0.58608,0.38099,0.39886,0.2202,1.32536,0.81497,1.00943,0.00207792,0.00207792,0.00207792
143,5495.05,1.25112,0.7901,1.00143,0.58959,0.38171,0.39941,0.22038,1.32535,0.81472,1.00947,0.00201611,0.00201611,0.00201611
144,5533.35,1.24617,0.7872,1.0017,0.59382,0.38133,0.4005,0.22033,1.32502,0.8147,1.00935,0.00195505,0.00195505,0.00195505
145,5569.81,1.24484,0.78449,1.00057,0.59253,0.38356,0.40066,0.22029,1.32485,0.81438,1.00924,0.00189475,0.00189475,0.00189475
146,5607.79,1.24072,0.78212,0.9981,0.59315,0.38428,0.40144,0.22033,1.3249,0.81423,1.00923,0.00183523,0.00183523,0.00183523
147,5646.09,1.24332,0.78326,1.00058,0.59185,0.38479,0.4011,0.22009,1.32483,0.81391,1.00921,0.00177651,0.00177651,0.00177651
148,5686.68,1.24168,0.78149,1.0016,0.59477,0.38543,0.40107,0.2202,1.32466,0.81389,1.00912,0.00171859,0.00171859,0.00171859
149,5724.48,1.24461,0.7824,1.00025,0.59806,0.38484,0.4019,0.22033,1.32437,0.81399,1.00908,0.00166149,0.00166149,0.00166149
150,5760.8,1.24287,0.78291,0.99958,0.59652,0.38413,0.40217,0.22023,1.32436,0.81387,1.00897,0.00160523,0.00160523,0.00160523
151,5799.5,1.2403,0.77937,0.99926,0.59586,0.3829,0.40238,0.21991,1.32425,0.81379,1.00898,0.00154982,0.00154982,0.00154982
152,6217.3,1.24028,0.77772,0.99729,0.5902,0.38192,0.40149,0.22007,1.32455,0.81377,1.00899,0.00149527,0.00149527,0.00149527
153,6254.52,1.23803,0.77665,0.99697,0.57337,0.38754,0.40136,0.21999,1.32448,0.8137,1.00892,0.00144161,0.00144161,0.00144161
154,6291.29,1.23777,0.77501,0.99877,0.59387,0.38073,0.40081,0.22006,1.32439,0.81356,1.00891,0.00138883,0.00138883,0.00138883
155,6328.96,1.23876,0.77584,0.99808,0.59499,0.38107,0.40098,0.2201,1.32434,0.81349,1.00892,0.00133695,0.00133695,0.00133695
156,6363.72,1.24836,0.78353,0.99908,0.59659,0.38031,0.40127,0.22018,1.32453,0.81344,1.00896,0.00128599,0.00128599,0.00128599
157,6401.34,1.23673,0.7761,0.9966,0.59645,0.38045,0.40114,0.22021,1.32448,0.81329,1.00893,0.00123596,0.00123596,0.00123596
158,6438.41,1.23668,0.77852,0.99818,0.59451,0.38139,0.40119,0.22061,1.32429,0.81331,1.00886,0.00118687,0.00118687,0.00118687
159,6475.71,1.23502,0.77279,0.99545,0.59654,0.38122,0.40137,0.22062,1.32447,0.81302,1.00885,0.00113873,0.00113873,0.00113873
160,6514.06,1.23805,0.77334,0.99859,0.58044,0.38658,0.40137,0.22053,1.32457,0.81311,1.00883,0.00109156,0.00109156,0.00109156
161,6550.57,1.23596,0.77067,0.99596,0.58562,0.38522,0.40184,0.22043,1.32464,0.81326,1.0088,0.00104537,0.00104537,0.00104537
162,6587.87,1.23654,0.77357,0.99601,0.57899,0.38682,0.40157,0.22046,1.32436,0.81321,1.00869,0.00100016,0.00100016,0.00100016
163,6624.34,1.23083,0.77084,0.99597,0.58058,0.38611,0.40146,0.22042,1.3244,0.81323,1.00856,0.000955951,0.000955951,0.000955951
164,6660.64,1.22878,0.76753,0.99493,0.57915,0.38606,0.40174,0.22059,1.32438,0.8135,1.00856,0.000912754,0.000912754,0.000912754
165,6699.9,1.2382,0.77675,0.99634,0.57606,0.38566,0.40139,0.22051,1.32431,0.81327,1.00854,0.000870577,0.000870577,0.000870577
166,6736.46,1.23175,0.76728,0.99576,0.57746,0.38573,0.40196,0.22015,1.32426,0.81326,1.00853,0.000829431,0.000829431,0.000829431
167,6772.67,1.23135,0.77139,0.99663,0.57775,0.3863,0.40212,0.2203,1.3245,0.81318,1.00853,0.000789327,0.000789327,0.000789327
168,6809.24,1.23126,0.76594,0.99512,0.58268,0.38445,0.40223,0.22047,1.32475,0.8132,1.00855,0.000750274,0.000750274,0.000750274
169,6846.15,1.23511,0.76918,0.99579,0.58976,0.3813,0.40204,0.22043,1.3246,0.81322,1.00846,0.000712282,0.000712282,0.000712282
170,6882.47,1.23107,0.76454,0.99499,0.59593,0.38033,0.40198,0.22036,1.32464,0.81318,1.00838,0.00067536,0.00067536,0.00067536
171,6924.58,1.23191,0.76618,0.99431,0.59581,0.37989,0.40204,0.22037,1.32489,0.81308,1.0085,0.000639518,0.000639518,0.000639518
