               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 100,            0.042569,            0.060827,           0.0055549,             0.71302,             0.39634,             0.44505,             0.23581,            0.042313,            0.051231,           0.0069315,           0.0050995,           0.0050995,           0.0050995
                 101,            0.042628,            0.060698,           0.0055535,             0.70263,             0.40393,              0.4471,             0.23793,            0.042324,             0.05118,           0.0069043,             0.00505,             0.00505,             0.00505
                 102,            0.042458,            0.061313,           0.0055191,             0.69027,             0.40104,             0.44728,             0.23687,            0.042332,            0.051196,           0.0069745,           0.0050005,           0.0050005,           0.0050005
                 103,             0.04251,            0.061504,           0.0054531,              0.6849,             0.40635,             0.44619,             0.23655,             0.04229,            0.051207,           0.0069968,            0.004951,            0.004951,            0.004951
                 104,            0.042425,            0.060958,           0.0054129,             0.68418,             0.40569,             0.44687,             0.23555,             0.04228,            0.051181,           0.0070208,           0.0049015,           0.0049015,           0.0049015
                 105,            0.042353,            0.060622,           0.0054247,             0.68779,             0.39892,             0.44603,             0.23469,             0.04226,            0.051169,           0.0070468,            0.004852,            0.004852,            0.004852
                 106,             0.04244,            0.061299,           0.0054955,             0.70084,             0.39681,             0.44435,             0.23525,            0.042223,            0.051172,           0.0070637,           0.0048025,           0.0048025,           0.0048025
                 107,             0.04212,            0.060773,           0.0054459,             0.66255,             0.41117,             0.44471,             0.23591,            0.042199,            0.051151,           0.0070676,            0.004753,            0.004753,            0.004753
                 108,            0.042241,            0.060704,           0.0054115,             0.69715,             0.39467,             0.44362,             0.23588,            0.042168,            0.051159,           0.0070557,           0.0047035,           0.0047035,           0.0047035
                 109,            0.042227,            0.060587,           0.0053523,              0.6937,             0.39542,             0.44392,             0.23434,            0.042157,            0.051135,           0.0070478,            0.004654,            0.004654,            0.004654
                 110,            0.042077,            0.060563,           0.0053807,              0.6985,             0.39827,             0.44202,             0.23435,            0.042147,            0.051126,           0.0070248,           0.0046045,           0.0046045,           0.0046045
                 111,            0.042157,            0.060302,           0.0052898,              0.6855,             0.39434,             0.44055,             0.23429,            0.042163,            0.051118,           0.0070246,            0.004555,            0.004555,            0.004555
                 112,            0.042225,            0.060674,           0.0053203,             0.67446,             0.39963,             0.43794,             0.23331,            0.042161,            0.051112,            0.007065,           0.0045055,           0.0045055,           0.0045055
                 113,            0.042178,             0.06083,           0.0054499,             0.67676,             0.40193,             0.43881,             0.23316,            0.042156,            0.051175,           0.0070936,            0.004456,            0.004456,            0.004456
                 114,            0.042039,            0.060237,           0.0052017,             0.69498,             0.39799,             0.44041,             0.23325,            0.042138,            0.051159,           0.0070929,           0.0044065,           0.0044065,           0.0044065
                 115,             0.04186,            0.060257,           0.0052732,             0.69852,             0.39511,             0.44155,             0.23377,             0.04213,            0.051178,           0.0070825,            0.004357,            0.004357,            0.004357
                 116,            0.041881,            0.059611,           0.0052536,             0.68222,             0.39538,             0.44217,             0.23453,            0.042127,            0.051185,           0.0071024,           0.0043075,           0.0043075,           0.0043075
                 117,            0.042059,            0.060486,           0.0052411,             0.71343,             0.38891,             0.44174,             0.23484,            0.042121,             0.05118,           0.0070981,            0.004258,            0.004258,            0.004258
                 118,            0.041863,            0.060185,            0.005221,             0.70552,             0.39216,             0.44085,             0.23362,            0.042112,            0.051174,           0.0071115,           0.0042085,           0.0042085,           0.0042085
                 119,            0.041904,            0.060418,           0.0052185,             0.69573,             0.40101,             0.44172,             0.23483,            0.042113,             0.05117,           0.0071305,            0.004159,            0.004159,            0.004159
                 120,            0.041706,            0.059912,           0.0050784,             0.70404,             0.39325,             0.44196,              0.2354,            0.042102,            0.051169,           0.0071282,           0.0041095,           0.0041095,           0.0041095
