epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,1575.81,1.3383,0.91305,1.0501,0.53065,0.32292,0.33054,0.17533,1.40424,0.92638,1.05293,0.0041095,0.0041095,0.0041095
121,1588.72,1.33342,0.91413,1.04311,0.50065,0.3215,0.31122,0.16442,1.41567,0.93394,1.06366,0.00406,0.00406,0.00406
122,1601.32,1.32594,0.90523,1.04313,0.44738,0.31231,0.32179,0.16963,1.41364,0.92535,1.06208,0.0040105,0.0040105,0.0040105
123,1613.54,1.32255,0.90151,1.03894,0.57489,0.31006,0.33384,0.17625,1.40887,0.92406,1.05835,0.003961,0.003961,0.003961
124,1626.03,1.33918,0.92336,1.04916,0.50132,0.31723,0.32335,0.17272,1.40922,0.92883,1.06106,0.0039115,0.0039115,0.0039115
125,1638.86,1.32327,0.90003,1.04336,0.41749,0.32273,0.3247,0.17271,1.40985,0.92597,1.06057,0.003862,0.003862,0.003862
126,1651.84,1.33582,0.9103,1.04519,0.50693,0.32887,0.32559,0.17072,1.4147,0.92346,1.05944,0.0038125,0.0038125,0.0038125
127,1664.18,1.3357,0.9019,1.03895,0.51124,0.31259,0.3181,0.16852,1.41461,0.92403,1.05898,0.003763,0.003763,0.003763
128,1676.1,1.31956,0.89871,1.03837,0.48699,0.35076,0.33058,0.17767,1.40215,0.91509,1.05654,0.0037135,0.0037135,0.0037135
129,1688.35,1.31031,0.89443,1.03577,0.56601,0.31142,0.32855,0.17335,1.40696,0.92101,1.0583,0.003664,0.003664,0.003664
130,1700.39,1.32468,0.9013,1.03953,0.52624,0.32517,0.32503,0.17265,1.40754,0.92122,1.05863,0.0036145,0.0036145,0.0036145
131,1712.49,1.32409,0.9,1.04094,0.51936,0.3386,0.32969,0.17217,1.40897,0.91901,1.05766,0.003565,0.003565,0.003565
132,1727.57,1.31162,0.88792,1.03455,0.56632,0.31044,0.3323,0.17484,1.4051,0.91202,1.05532,0.0035155,0.0035155,0.0035155
133,1741.01,1.329,0.90776,1.04335,0.52651,0.3207,0.32224,0.17114,1.41066,0.92227,1.05956,0.003466,0.003466,0.003466
134,1753.66,1.32329,0.89889,1.03784,0.53128,0.32533,0.32246,0.16966,1.41045,0.91945,1.05694,0.0034165,0.0034165,0.0034165
135,1765.63,1.31068,0.8853,1.04024,0.52181,0.32314,0.32702,0.17554,1.40911,0.91661,1.05885,0.003367,0.003367,0.003367
136,1777.97,1.32096,0.89441,1.03964,0.50963,0.33564,0.3341,0.17671,1.40778,0.91773,1.05817,0.0033175,0.0033175,0.0033175
137,1790.39,1.31577,0.88094,1.03912,0.52457,0.32172,0.33232,0.17593,1.40139,0.91342,1.05626,0.003268,0.003268,0.003268
138,1802.42,1.30295,0.87601,1.0313,0.41988,0.32967,0.32476,0.1708,1.40279,0.91738,1.05301,0.0032185,0.0032185,0.0032185
139,1814.3,1.31428,0.88216,1.03205,0.52021,0.32189,0.33419,0.17616,1.39983,0.90854,1.04991,0.003169,0.003169,0.003169
140,1826.46,1.30898,0.87842,1.03537,0.53864,0.33301,0.33445,0.17532,1.39957,0.90593,1.05619,0.0031195,0.0031195,0.0031195
141,1839.97,1.3188,0.88198,1.03608,0.53235,0.33293,0.33384,0.17634,1.39828,0.90974,1.0537,0.00307,0.00307,0.00307
142,1852.78,1.32336,0.89151,1.03558,0.52213,0.32356,0.32942,0.17522,1.40123,0.90645,1.055,0.0030205,0.0030205,0.0030205
143,1864.89,1.30692,0.87217,1.03857,0.55787,0.32769,0.34034,0.17945,1.3993,0.90621,1.05596,0.002971,0.002971,0.002971
144,1877.59,1.30949,0.87527,1.03258,0.51392,0.34968,0.33901,0.18107,1.39607,0.90465,1.05462,0.0029215,0.0029215,0.0029215
145,1889.8,1.30788,0.87172,1.02974,0.4972,0.35085,0.3314,0.17648,1.39954,0.90849,1.05497,0.002872,0.002872,0.002872
146,1901.69,1.29085,0.86474,1.03032,0.4926,0.33491,0.33242,0.17664,1.3991,0.90659,1.054,0.0028225,0.0028225,0.0028225
147,1913.91,1.29433,0.86404,1.02602,0.55922,0.32208,0.33615,0.17778,1.3982,0.90403,1.05169,0.002773,0.002773,0.002773
148,1926.65,1.30048,0.87591,1.029,0.52995,0.32859,0.33337,0.17557,1.40192,0.90813,1.05439,0.0027235,0.0027235,0.0027235
149,1940.63,1.307,0.87269,1.03374,0.42244,0.33856,0.33522,0.17578,1.40112,0.90533,1.05338,0.002674,0.002674,0.002674
150,1953.7,1.29772,0.86497,1.02796,0.54306,0.33445,0.33856,0.17772,1.39982,0.90317,1.05256,0.0026245,0.0026245,0.0026245
151,1966.52,1.30319,0.87134,1.02871,0.54733,0.32922,0.33834,0.17851,1.39615,0.90246,1.05004,0.002575,0.002575,0.002575
152,1978.64,1.29812,0.86936,1.02996,0.51371,0.3417,0.33654,0.1775,1.39832,0.90364,1.05232,0.0025255,0.0025255,0.0025255
153,1990.69,1.28542,0.8483,1.02762,0.54427,0.33456,0.33915,0.17939,1.39752,0.90239,1.05382,0.002476,0.002476,0.002476
154,2022.18,1.29629,0.8613,1.02709,0.54687,0.32717,0.33882,0.18035,1.39978,0.90594,1.0519,0.0024265,0.0024265,0.0024265
155,2035.88,1.2915,0.86243,1.02524,0.56378,0.31159,0.33595,0.17923,1.40031,0.90172,1.05232,0.002377,0.002377,0.002377
156,2048.58,1.29961,0.87396,1.02847,0.52114,0.33346,0.33429,0.1794,1.39567,0.90139,1.05273,0.0023275,0.0023275,0.0023275
157,2060.63,1.29877,0.86076,1.02748,0.45284,0.31537,0.33397,0.17706,1.39976,0.90468,1.05413,0.002278,0.002278,0.002278
158,2072.85,1.28598,0.85195,1.02356,0.515,0.33279,0.33391,0.17814,1.39634,0.90149,1.05033,0.0022285,0.0022285,0.0022285
159,2086.96,1.26857,0.83611,1.02252,0.52809,0.33246,0.33416,0.17855,1.39524,0.89817,1.0526,0.002179,0.002179,0.002179
160,2099.47,1.27684,0.84625,1.02331,0.57226,0.31696,0.33711,0.17905,1.39691,0.89824,1.05181,0.0021295,0.0021295,0.0021295
161,2111.53,1.2873,0.85177,1.02556,0.511,0.33772,0.33306,0.17782,1.3977,0.90328,1.05393,0.00208,0.00208,0.00208
162,2123.61,1.28234,0.8425,1.02266,0.58258,0.30665,0.33466,0.1784,1.39729,0.90241,1.05124,0.0020305,0.0020305,0.0020305
163,2135.77,1.28178,0.84912,1.02456,0.56846,0.31517,0.33494,0.18023,1.39906,0.89527,1.0546,0.001981,0.001981,0.001981
164,2147.81,1.28281,0.8497,1.0274,0.58954,0.31681,0.3407,0.18061,1.3968,0.89526,1.0517,0.0019315,0.0019315,0.0019315
165,2165.5,1.2901,0.85078,1.01993,0.57544,0.32287,0.34155,0.18054,1.39816,0.89428,1.0507,0.001882,0.001882,0.001882
166,2178.19,1.28262,0.84866,1.02586,0.46149,0.32476,0.34233,0.18137,1.39634,0.89175,1.04958,0.0018325,0.0018325,0.0018325
167,2190.7,1.27836,0.84077,1.01988,0.56148,0.33106,0.34167,0.1802,1.39273,0.89426,1.0491,0.001783,0.001783,0.001783
168,2202.86,1.28201,0.84538,1.02222,0.56158,0.33078,0.34629,0.18276,1.39381,0.89546,1.05026,0.0017335,0.0017335,0.0017335
169,2216.05,1.27744,0.83763,1.01844,0.56297,0.31879,0.3385,0.1808,1.389,0.89345,1.04832,0.001684,0.001684,0.001684
170,2228.57,1.28134,0.84855,1.02262,0.5433,0.31785,0.3344,0.17728,1.39239,0.89692,1.04912,0.0016345,0.0016345,0.0016345
171,2240.58,1.2704,0.82738,1.01394,0.57037,0.3193,0.33763,0.17903,1.39243,0.89385,1.04975,0.001585,0.001585,0.001585
172,2253.53,1.27182,0.83385,1.01902,0.53487,0.33308,0.34317,0.18188,1.39146,0.89314,1.04783,0.0015355,0.0015355,0.0015355
173,2265.86,1.26926,0.82987,1.01829,0.57298,0.32162,0.34419,0.18226,1.39262,0.89269,1.04992,0.001486,0.001486,0.001486
174,2278.48,1.27856,0.83632,1.02107,0.55768,0.32608,0.34148,0.18266,1.39427,0.89115,1.05101,0.0014365,0.0014365,0.0014365
175,2291.01,1.27205,0.83076,1.01652,0.51429,0.34454,0.34319,0.18272,1.39451,0.89395,1.05172,0.001387,0.001387,0.001387
176,2315.48,1.2602,0.82485,1.01287,0.53479,0.3379,0.34496,0.18324,1.39249,0.89415,1.05085,0.0013375,0.0013375,0.0013375
177,2329.01,1.27583,0.83921,1.01996,0.55213,0.33063,0.34202,0.18274,1.39196,0.89118,1.05111,0.001288,0.001288,0.001288
178,2341.59,1.27418,0.82973,1.01982,0.55566,0.31377,0.34,0.18043,1.39157,0.89185,1.04924,0.0012385,0.0012385,0.0012385
179,2354.12,1.2752,0.83575,1.02141,0.52821,0.32642,0.33897,0.18178,1.39477,0.89125,1.05111,0.001189,0.001189,0.001189
180,2369.37,1.28529,0.84049,1.01879,0.5425,0.32927,0.34125,0.18087,1.39389,0.89202,1.05095,0.0011395,0.0011395,0.0011395
181,2382.16,1.26755,0.82693,1.01564,0.50041,0.33387,0.33948,0.18066,1.39172,0.89108,1.05026,0.00109,0.00109,0.00109
182,2394.79,1.2683,0.81799,1.01843,0.53246,0.33371,0.34063,0.18155,1.39249,0.89222,1.05056,0.0010405,0.0010405,0.0010405
183,2407.22,1.27415,0.8274,1.01548,0.53491,0.32661,0.34272,0.18129,1.39227,0.88822,1.04992,0.000991,0.000991,0.000991
184,2419.75,1.25579,0.81985,1.015,0.53943,0.33562,0.34242,0.18143,1.39266,0.88919,1.04945,0.0009415,0.0009415,0.0009415
185,2432.07,1.26364,0.8224,1.01277,0.53182,0.33598,0.34064,0.18151,1.3904,0.89115,1.04956,0.000892,0.000892,0.000892
